type,task,autogluon,autosklearn,h2oautoml,tpot
binary,adult,1.0006614805530416,0.999716354730344,1.0,0.9967670030447244
binary,amazon_employee_access,1.0177828806284137,0.9639770213122686,1.0,0.9845933812225921
binary,apsfailure,0.9994483845944865,0.9998582654860833,0.9999999999999998,0.9988511036592405
binary,australian,1.0015859208571174,0.9860183342675958,1.0,1.0005821788720621
binary,bank-marketing,1.00108146542029,1.0005215149494042,1.0000000000000002,0.9965616968293716
binary,bioresponse,0.9904518438888411,0.9783226363792675,0.9999999999999998,0.9894001459540538
binary,blood-transfusion,0.9842207077872616,0.9899759237365364,1.0,0.9669216188433583
binary,christine,0.9909331442370515,1.0084290444989659,1.0,0.988368052202623
binary,credit-g,1.0012733447059992,0.982233912658485,1.0,0.9853262302770046
binary,dresses-sales,0.9219219708920583,0.9135386203651958,1.0000000000000002,0.8709957987233864
binary,guillermo,1.0129469648406666,0.999885272981109,1.0000000000000002,
binary,higgs,0.9983157158403893,0.9947845320562173,1.0,0.982179380800534
binary,internet-advertisements,1.001153947215728,1.0013048838828584,0.9999999999999998,0.9800535037825242
binary,jasmine,0.9975276714269,0.9964896682951639,1.0,1.0025965321459172
binary,kc1,0.9813611571924717,1.0094044265953763,0.9999999999999998,1.0027702920431083
binary,kddcup09_appetency,1.0165532770771462,1.0097702814637886,0.9999999999999998,0.9865844001089389
binary,kr-vs-kp,0.9998782804031447,0.9999801968116866,1.0,0.9494167560977317
binary,miniboone,1.0021606679940154,1.000269446921745,1.0,0.9966131823258818
binary,nomao,1.0001720788683435,0.9998876567948212,1.0,0.9993207201731551
binary,numerai28.6,0.9811601583423155,0.9960352247783,1.0,0.982153424592496
binary,phoneme,1.0022418233344728,0.9960674212514425,0.9999999999999997,1.0002755856842338
binary,riccardo,1.000000200053394,1.00002330622043,1.0,0.991597657414764
binary,sylvine,0.9992372436065103,1.0015308672358345,1.0,1.002800275723808
multiclass,car,-5.833358026434297,-4.002818728723572,-0.9999999999999998,-0.45964668009859944
multiclass,cnae-9,-1.2200419580411146,-1.0390506848946852,-1.0,-1.1152035504201265
multiclass,connect-4,-0.9166729420549402,-1.0239137014375113,-1.0,-1.1972987843635214
multiclass,dilbert,-0.9184707419141038,-2.489706421742852,-1.0000000000000004,-7.6950413938121285
multiclass,eucalyptus,-0.9907082263128478,-1.0080366949660264,-1.0000000000000002,-0.9591675306513441
multiclass,fabert,-0.977891613132388,-1.070199045461835,-1.0,-1.1213981161058768
multiclass,fashion-mnist,-0.860115151402445,-1.1804173141842402,-1.0,-1.4720203986895377
multiclass,helena,-0.8737973478777598,-0.9481812539495458,-1.0,-1.044161998834774
multiclass,jannis,-0.9670717670217239,-0.9665504159916903,-1.0,-1.0463761660894257
multiclass,jungle_chess_2pcs_raw_endgame_complete,-0.3120485615450934,-0.8090725834946927,-0.9999999999999998,-0.8696109175582659
multiclass,mfeat-factors,-0.854550207103155,-1.1098028674875653,-1.0,-1.3511388652753078
multiclass,micro-mass,-0.7032827440903836,-0.824565519080047,-1.0,-1.0144978215146174
multiclass,robert,-0.8609681298309109,-1.0201359331824702,-1.0000000000000002,-1.1278324298479774
multiclass,segment,-1.0136163623999497,-1.1607875683414772,-1.0,-1.1153218264481641
multiclass,shuttle,-0.889075061428036,-2.228034908037853,-0.9999999999999998,-1.0659810787599437
multiclass,vehicle,-1.178216501582313,-1.08017064019443,-0.9999999999999998,-1.202420388713076
multiclass,volkert,-0.8958706378214423,-1.0191559345459777,-0.9999999999999998,-1.2510070551887604
regression,aloi,-0.6753548971690602,-0.8415463540093541,-1.0000000000000002,-1.3011285318103192
regression,asp-potassco-regression,-1.0492034698234274,,-0.9999999999999998,
regression,bng_breasttumor,-1.0014232741479154,-1.0022267164098753,-1.0,-1.005636806499658
regression,elevators,-0.8946612708812738,-0.9525450498959007,-0.9999999999999998,-0.951308988063525
regression,fried,-0.9732711200222222,-0.9927364405386777,-1.0,-1.0377566683551216
regression,houses,-1.0093501617919638,-1.035726004349359,-1.0,-1.0765679775727326
regression,moneyball,-1.000252460025291,-0.9845563643959488,-1.0,-0.9523397474052095
regression,mtp2,-1.0230473954698307,-0.9515093668190332,-1.0,-0.9617018495172608
regression,qsar-tid-11140,-1.0084370323353735,-1.0292026550568054,-1.0000000000000002,-1.009135230957402
